Absence_Rank,Student_ID,Grade_Level,Section,Total_Sessions,Absence_Count,Attendance_Rate,Absence_Frequency,Distinct_Absent_Days
351,ENHS_SYN_0205,Grade 8,Section B,300,31,0.8967,0.1033,25
352,ENHS_SYN_0469,Grade 10,Section A,300,31,0.8967,0.1033,25
353,ENHS_SYN_0493,Grade 10,Section A,300,31,0.8967,0.1033,23
354,ENHS_SYN_0455,Grade 10,Section A,300,31,0.8967,0.1033,27
355,ENHS_SYN_0107,Grade 7,Section C,300,31,0.8967,0.1033,25
356,ENHS_SYN_0104,Grade 7,Section C,298,31,0.896,0.104,26
357,ENHS_SYN_0080,Grade 7,Section B,299,31,0.8963,0.1037,25
358,ENHS_SYN_0538,Grade 10,Section B,300,30,0.9,0.1,27
359,ENHS_SYN_0309,Grade 9,Section A,300,30,0.9,0.1,23
360,ENHS_SYN_0137,Grade 7,Section C,299,30,0.8997,0.1003,25
361,ENHS_SYN_0097,Grade 7,Section B,300,30,0.9,0.1,24
362,ENHS_SYN_0337,Grade 9,Section A,299,30,0.8997,0.1003,24
363,ENHS_SYN_0325,Grade 9,Section A,298,30,0.8993,0.1007,26
364,ENHS_SYN_0460,Grade 10,Section A,300,30,0.9,0.1,26
365,ENHS_SYN_0424,Grade 9,Section C,300,30,0.9,0.1,27
366,ENHS_SYN_0358,Grade 9,Section B,299,30,0.8997,0.1003,24
367,ENHS_SYN_0120,Grade 7,Section C,299,30,0.8997,0.1003,25
368,ENHS_SYN_0364,Grade 9,Section B,300,30,0.9,0.1,24
369,ENHS_SYN_0010,Grade 7,Section A,299,30,0.8997,0.1003,26
370,ENHS_SYN_0414,Grade 9,Section C,300,29,0.9033,0.0967,25
371,ENHS_SYN_0091,Grade 7,Section B,300,29,0.9033,0.0967,23
372,ENHS_SYN_0086,Grade 7,Section B,298,29,0.9027,0.0973,25
373,ENHS_SYN_0345,Grade 9,Section A,300,29,0.9033,0.0967,24
374,ENHS_SYN_0106,Grade 7,Section C,299,29,0.903,0.097,23
375,ENHS_SYN_0326,Grade 9,Section A,299,29,0.903,0.097,22
376,ENHS_SYN_0246,Grade 8,Section B,297,29,0.9024,0.0976,26
377,ENHS_SYN_0456,Grade 10,Section A,299,29,0.903,0.097,22
378,ENHS_SYN_0062,Grade 7,Section B,299,29,0.903,0.097,24
379,ENHS_SYN_0301,Grade 9,Section A,300,29,0.9033,0.0967,24
380,ENHS_SYN_0134,Grade 7,Section C,299,29,0.903,0.097,24
381,ENHS_SYN_0073,Grade 7,Section B,299,29,0.903,0.097,23
382,ENHS_SYN_0153,Grade 8,Section A,300,28,0.9067,0.0933,23
383,ENHS_SYN_0017,Grade 7,Section A,299,28,0.9064,0.0936,25
384,ENHS_SYN_0014,Grade 7,Section A,299,28,0.9064,0.0936,21
385,ENHS_SYN_0485,Grade 10,Section A,300,28,0.9067,0.0933,24
386,ENHS_SYN_0159,Grade 8,Section A,300,28,0.9067,0.0933,24
387,ENHS_SYN_0149,Grade 7,Section C,298,27,0.9094,0.0906,26
388,ENHS_SYN_0584,Grade 10,Section C,300,27,0.91,0.09,22
389,ENHS_SYN_0020,Grade 7,Section A,299,27,0.9097,0.0903,24
390,ENHS_SYN_0408,Grade 9,Section C,298,27,0.9094,0.0906,26
391,ENHS_SYN_0346,Grade 9,Section A,300,27,0.91,0.09,24
392,ENHS_SYN_0405,Grade 9,Section C,300,27,0.91,0.09,23
393,ENHS_SYN_0116,Grade 7,Section C,300,27,0.91,0.09,22
394,ENHS_SYN_0445,Grade 9,Section C,300,27,0.91,0.09,25
395,ENHS_SYN_0521,Grade 10,Section B,299,27,0.9097,0.0903,22
396,ENHS_SYN_0039,Grade 7,Section A,300,27,0.91,0.09,22
397,ENHS_SYN_0136,Grade 7,Section C,300,27,0.91,0.09,25
398,ENHS_SYN_0141,Grade 7,Section C,300,27,0.91,0.09,21
399,ENHS_SYN_0307,Grade 9,Section A,299,27,0.9097,0.0903,23
400,ENHS_SYN_0176,Grade 8,Section A,300,27,0.91,0.09,23
401,ENHS_SYN_0351,Grade 9,Section B,299,27,0.9097,0.0903,23
402,ENHS_SYN_0133,Grade 7,Section C,299,26,0.913,0.087,22
403,ENHS_SYN_0095,Grade 7,Section B,300,26,0.9133,0.0867,23
404,ENHS_SYN_0399,Grade 9,Section B,299,26,0.913,0.087,19
405,ENHS_SYN_0113,Grade 7,Section C,300,26,0.9133,0.0867,23
406,ENHS_SYN_0359,Grade 9,Section B,300,26,0.9133,0.0867,20
407,ENHS_SYN_0065,Grade 7,Section B,300,26,0.9133,0.0867,20
408,ENHS_SYN_0052,Grade 7,Section B,300,26,0.9133,0.0867,24
409,ENHS_SYN_0163,Grade 8,Section A,300,26,0.9133,0.0867,20
410,ENHS_SYN_0201,Grade 8,Section B,300,26,0.9133,0.0867,23
411,ENHS_SYN_0066,Grade 7,Section B,300,26,0.9133,0.0867,20
412,ENHS_SYN_0479,Grade 10,Section A,299,25,0.9164,0.0836,20
413,ENHS_SYN_0379,Grade 9,Section B,300,25,0.9167,0.0833,23
414,ENHS_SYN_0272,Grade 8,Section C,300,25,0.9167,0.0833,22
415,ENHS_SYN_0297,Grade 8,Section C,300,25,0.9167,0.0833,21
416,ENHS_SYN_0513,Grade 10,Section B,300,25,0.9167,0.0833,22
417,ENHS_SYN_0036,Grade 7,Section A,299,25,0.9164,0.0836,23
418,ENHS_SYN_0525,Grade 10,Section B,300,25,0.9167,0.0833,23
419,ENHS_SYN_0130,Grade 7,Section C,300,25,0.9167,0.0833,20
420,ENHS_SYN_0040,Grade 7,Section A,298,25,0.9161,0.0839,23
421,ENHS_SYN_0192,Grade 8,Section A,299,25,0.9164,0.0836,23
422,ENHS_SYN_0244,Grade 8,Section B,300,25,0.9167,0.0833,20
423,ENHS_SYN_0194,Grade 8,Section A,300,25,0.9167,0.0833,20
424,ENHS_SYN_0587,Grade 10,Section C,300,25,0.9167,0.0833,23
425,ENHS_SYN_0430,Grade 9,Section C,300,25,0.9167,0.0833,21
426,ENHS_SYN_0276,Grade 8,Section C,300,25,0.9167,0.0833,22
427,ENHS_SYN_0119,Grade 7,Section C,300,25,0.9167,0.0833,23
428,ENHS_SYN_0474,Grade 10,Section A,299,24,0.9197,0.0803,21
429,ENHS_SYN_0486,Grade 10,Section A,299,24,0.9197,0.0803,19
430,ENHS_SYN_0109,Grade 7,Section C,300,24,0.92,0.08,21
431,ENHS_SYN_0011,Grade 7,Section A,298,24,0.9195,0.0805,21
432,ENHS_SYN_0543,Grade 10,Section B,300,24,0.92,0.08,22
433,ENHS_SYN_0338,Grade 9,Section A,300,24,0.92,0.08,20
434,ENHS_SYN_0046,Grade 7,Section A,300,24,0.92,0.08,22
435,ENHS_SYN_0166,Grade 8,Section A,300,24,0.92,0.08,20
436,ENHS_SYN_0457,Grade 10,Section A,300,23,0.9233,0.0767,19
437,ENHS_SYN_0197,Grade 8,Section A,300,23,0.9233,0.0767,18
438,ENHS_SYN_0226,Grade 8,Section B,299,23,0.9231,0.0769,22
439,ENHS_SYN_0221,Grade 8,Section B,300,23,0.9233,0.0767,20
440,ENHS_SYN_0167,Grade 8,Section A,299,23,0.9231,0.0769,21
441,ENHS_SYN_0156,Grade 8,Section A,297,23,0.9226,0.0774,18
442,ENHS_SYN_0390,Grade 9,Section B,298,23,0.9228,0.0772,19
443,ENHS_SYN_0266,Grade 8,Section C,299,23,0.9231,0.0769,19
444,ENHS_SYN_0087,Grade 7,Section B,300,23,0.9233,0.0767,20
445,ENHS_SYN_0377,Grade 9,Section B,300,23,0.9233,0.0767,22
446,ENHS_SYN_0491,Grade 10,Section A,300,23,0.9233,0.0767,22
447,ENHS_SYN_0281,Grade 8,Section C,300,23,0.9233,0.0767,18
448,ENHS_SYN_0122,Grade 7,Section C,298,23,0.9228,0.0772,21
449,ENHS_SYN_0382,Grade 9,Section B,298,22,0.9262,0.0738,20
450,ENHS_SYN_0259,Grade 8,Section C,299,22,0.9264,0.0736,19
451,ENHS_SYN_0546,Grade 10,Section B,300,22,0.9267,0.0733,21
452,ENHS_SYN_0478,Grade 10,Section A,300,22,0.9267,0.0733,18
453,ENHS_SYN_0296,Grade 8,Section C,299,22,0.9264,0.0736,19
454,ENHS_SYN_0243,Grade 8,Section B,299,22,0.9264,0.0736,20
455,ENHS_SYN_0081,Grade 7,Section B,300,22,0.9267,0.0733,19
456,ENHS_SYN_0078,Grade 7,Section B,299,22,0.9264,0.0736,18
457,ENHS_SYN_0298,Grade 8,Section C,298,22,0.9262,0.0738,20
458,ENHS_SYN_0290,Grade 8,Section C,300,22,0.9267,0.0733,18
459,ENHS_SYN_0375,Grade 9,Section B,300,22,0.9267,0.0733,18
460,ENHS_SYN_0157,Grade 8,Section A,299,22,0.9264,0.0736,18
461,ENHS_SYN_0015,Grade 7,Section A,300,22,0.9267,0.0733,19
462,ENHS_SYN_0236,Grade 8,Section B,300,21,0.93,0.07,20
463,ENHS_SYN_0117,Grade 7,Section C,300,21,0.93,0.07,19
464,ENHS_SYN_0018,Grade 7,Section A,300,21,0.93,0.07,19
465,ENHS_SYN_0008,Grade 7,Section A,299,21,0.9298,0.0702,15
466,ENHS_SYN_0599,Grade 10,Section C,300,21,0.93,0.07,19
467,ENHS_SYN_0061,Grade 7,Section B,300,21,0.93,0.07,18
468,ENHS_SYN_0569,Grade 10,Section C,299,21,0.9298,0.0702,19
469,ENHS_SYN_0532,Grade 10,Section B,299,21,0.9298,0.0702,20
470,ENHS_SYN_0429,Grade 9,Section C,298,21,0.9295,0.0705,19
471,ENHS_SYN_0500,Grade 10,Section A,300,21,0.93,0.07,19
472,ENHS_SYN_0463,Grade 10,Section A,300,21,0.93,0.07,18
473,ENHS_SYN_0563,Grade 10,Section C,300,20,0.9333,0.0667,18
474,ENHS_SYN_0555,Grade 10,Section C,300,20,0.9333,0.0667,18
475,ENHS_SYN_0199,Grade 8,Section A,300,20,0.9333,0.0667,17
476,ENHS_SYN_0241,Grade 8,Section B,300,20,0.9333,0.0667,16
477,ENHS_SYN_0383,Grade 9,Section B,298,20,0.9329,0.0671,18
478,ENHS_SYN_0342,Grade 9,Section A,299,20,0.9331,0.0669,17
479,ENHS_SYN_0549,Grade 10,Section B,299,20,0.9331,0.0669,20
480,ENHS_SYN_0273,Grade 8,Section C,300,20,0.9333,0.0667,19
481,ENHS_SYN_0470,Grade 10,Section A,299,20,0.9331,0.0669,19
482,ENHS_SYN_0299,Grade 8,Section C,300,20,0.9333,0.0667,16
483,ENHS_SYN_0315,Grade 9,Section A,300,19,0.9367,0.0633,14
484,ENHS_SYN_0076,Grade 7,Section B,299,19,0.9365,0.0635,15
485,ENHS_SYN_0210,Grade 8,Section B,300,19,0.9367,0.0633,17
486,ENHS_SYN_0477,Grade 10,Section A,300,19,0.9367,0.0633,18
487,ENHS_SYN_0251,Grade 8,Section C,298,19,0.9362,0.0638,15
488,ENHS_SYN_0354,Grade 9,Section B,299,19,0.9365,0.0635,17
489,ENHS_SYN_0398,Grade 9,Section B,300,19,0.9367,0.0633,17
490,ENHS_SYN_0232,Grade 8,Section B,299,19,0.9365,0.0635,17
491,ENHS_SYN_0427,Grade 9,Section C,299,19,0.9365,0.0635,17
492,ENHS_SYN_0367,Grade 9,Section B,300,19,0.9367,0.0633,16
493,ENHS_SYN_0540,Grade 10,Section B,300,19,0.9367,0.0633,18
494,ENHS_SYN_0336,Grade 9,Section A,299,19,0.9365,0.0635,17
495,ENHS_SYN_0314,Grade 9,Section A,299,19,0.9365,0.0635,15
496,ENHS_SYN_0568,Grade 10,Section C,300,18,0.94,0.06,14
497,ENHS_SYN_0450,Grade 9,Section C,300,18,0.94,0.06,16
498,ENHS_SYN_0317,Grade 9,Section A,300,18,0.94,0.06,16
499,ENHS_SYN_0058,Grade 7,Section B,300,18,0.94,0.06,17
500,ENHS_SYN_0240,Grade 8,Section B,300,18,0.94,0.06,16
501,ENHS_SYN_0578,Grade 10,Section C,300,18,0.94,0.06,17
502,ENHS_SYN_0253,Grade 8,Section C,299,18,0.9398,0.0602,14
503,ENHS_SYN_0187,Grade 8,Section A,300,18,0.94,0.06,17
504,ENHS_SYN_0316,Grade 9,Section A,300,18,0.94,0.06,18
505,ENHS_SYN_0467,Grade 10,Section A,300,17,0.9433,0.0567,14
506,ENHS_SYN_0145,Grade 7,Section C,300,17,0.9433,0.0567,15
507,ENHS_SYN_0277,Grade 8,Section C,300,17,0.9433,0.0567,17
508,ENHS_SYN_0597,Grade 10,Section C,300,17,0.9433,0.0567,15
509,ENHS_SYN_0522,Grade 10,Section B,300,17,0.9433,0.0567,15
510,ENHS_SYN_0170,Grade 8,Section A,298,17,0.943,0.057,16
511,ENHS_SYN_0218,Grade 8,Section B,299,17,0.9431,0.0569,14
512,ENHS_SYN_0042,Grade 7,Section A,300,17,0.9433,0.0567,16
513,ENHS_SYN_0250,Grade 8,Section B,300,17,0.9433,0.0567,15
514,ENHS_SYN_0400,Grade 9,Section B,300,16,0.9467,0.0533,14
515,ENHS_SYN_0328,Grade 9,Section A,300,16,0.9467,0.0533,12
516,ENHS_SYN_0075,Grade 7,Section B,300,16,0.9467,0.0533,15
517,ENHS_SYN_0216,Grade 8,Section B,299,16,0.9465,0.0535,14
518,ENHS_SYN_0249,Grade 8,Section B,300,16,0.9467,0.0533,13
519,ENHS_SYN_0283,Grade 8,Section C,299,16,0.9465,0.0535,15
520,ENHS_SYN_0374,Grade 9,Section B,299,16,0.9465,0.0535,16
521,ENHS_SYN_0295,Grade 8,Section C,299,16,0.9465,0.0535,15
522,ENHS_SYN_0515,Grade 10,Section B,300,16,0.9467,0.0533,15
523,ENHS_SYN_0202,Grade 8,Section B,298,16,0.9463,0.0537,13
524,ENHS_SYN_0164,Grade 8,Section A,300,16,0.9467,0.0533,15
525,ENHS_SYN_0183,Grade 8,Section A,300,16,0.9467,0.0533,15
526,ENHS_SYN_0270,Grade 8,Section C,299,15,0.9498,0.0502,15
527,ENHS_SYN_0112,Grade 7,Section C,300,15,0.95,0.05,13
528,ENHS_SYN_0567,Grade 10,Section C,300,15,0.95,0.05,13
529,ENHS_SYN_0063,Grade 7,Section B,300,15,0.95,0.05,14
530,ENHS_SYN_0287,Grade 8,Section C,300,15,0.95,0.05,15
531,ENHS_SYN_0386,Grade 9,Section B,300,15,0.95,0.05,14
532,ENHS_SYN_0404,Grade 9,Section C,300,15,0.95,0.05,13
533,ENHS_SYN_0322,Grade 9,Section A,299,15,0.9498,0.0502,14
534,ENHS_SYN_0140,Grade 7,Section C,300,15,0.95,0.05,14
535,ENHS_SYN_0121,Grade 7,Section C,299,14,0.9532,0.0468,12
536,ENHS_SYN_0161,Grade 8,Section A,299,14,0.9532,0.0468,13
537,ENHS_SYN_0541,Grade 10,Section B,298,14,0.953,0.047,13
538,ENHS_SYN_0489,Grade 10,Section A,298,14,0.953,0.047,14
539,ENHS_SYN_0392,Grade 9,Section B,300,14,0.9533,0.0467,13
540,ENHS_SYN_0419,Grade 9,Section C,300,14,0.9533,0.0467,11
541,ENHS_SYN_0484,Grade 10,Section A,299,13,0.9565,0.0435,12
542,ENHS_SYN_0440,Grade 9,Section C,300,13,0.9567,0.0433,12
543,ENHS_SYN_0547,Grade 10,Section B,300,13,0.9567,0.0433,12
544,ENHS_SYN_0291,Grade 8,Section C,298,13,0.9564,0.0436,13
545,ENHS_SYN_0059,Grade 7,Section B,300,13,0.9567,0.0433,10
546,ENHS_SYN_0548,Grade 10,Section B,299,13,0.9565,0.0435,12
547,ENHS_SYN_0286,Grade 8,Section C,300,12,0.96,0.04,11
548,ENHS_SYN_0387,Grade 9,Section B,299,12,0.9599,0.0401,10
549,ENHS_SYN_0090,Grade 7,Section B,300,12,0.96,0.04,12
550,ENHS_SYN_0037,Grade 7,Section A,300,12,0.96,0.04,11
551,ENHS_SYN_0072,Grade 7,Section B,299,12,0.9599,0.0401,11
552,ENHS_SYN_0570,Grade 10,Section C,299,12,0.9599,0.0401,11
553,ENHS_SYN_0365,Grade 9,Section B,299,12,0.9599,0.0401,10
554,ENHS_SYN_0083,Grade 7,Section B,300,12,0.96,0.04,12
555,ENHS_SYN_0088,Grade 7,Section B,299,12,0.9599,0.0401,11
556,ENHS_SYN_0030,Grade 7,Section A,300,11,0.9633,0.0367,8
557,ENHS_SYN_0565,Grade 10,Section C,300,11,0.9633,0.0367,11
558,ENHS_SYN_0409,Grade 9,Section C,298,11,0.9631,0.0369,10
559,ENHS_SYN_0422,Grade 9,Section C,299,11,0.9632,0.0368,9
560,ENHS_SYN_0425,Grade 9,Section C,300,11,0.9633,0.0367,10
561,ENHS_SYN_0146,Grade 7,Section C,298,11,0.9631,0.0369,10
562,ENHS_SYN_0583,Grade 10,Section C,299,11,0.9632,0.0368,10
563,ENHS_SYN_0554,Grade 10,Section C,300,11,0.9633,0.0367,10
564,ENHS_SYN_0321,Grade 9,Section A,298,11,0.9631,0.0369,10
565,ENHS_SYN_0211,Grade 8,Section B,300,11,0.9633,0.0367,10
566,ENHS_SYN_0071,Grade 7,Section B,300,10,0.9667,0.0333,10
567,ENHS_SYN_0223,Grade 8,Section B,298,10,0.9664,0.0336,10
568,ENHS_SYN_0308,Grade 9,Section A,299,10,0.9666,0.0334,10
569,ENHS_SYN_0181,Grade 8,Section A,299,10,0.9666,0.0334,10
570,ENHS_SYN_0191,Grade 8,Section A,299,10,0.9666,0.0334,9
571,ENHS_SYN_0056,Grade 7,Section B,300,10,0.9667,0.0333,9
572,ENHS_SYN_0203,Grade 8,Section B,300,10,0.9667,0.0333,9
573,ENHS_SYN_0318,Grade 9,Section A,299,9,0.9699,0.0301,7
574,ENHS_SYN_0552,Grade 10,Section C,299,9,0.9699,0.0301,7
575,ENHS_SYN_0393,Grade 9,Section B,300,9,0.97,0.03,8
576,ENHS_SYN_0093,Grade 7,Section B,298,9,0.9698,0.0302,9
577,ENHS_SYN_0361,Grade 9,Section B,300,8,0.9733,0.0267,8
578,ENHS_SYN_0125,Grade 7,Section C,299,8,0.9732,0.0268,8
579,ENHS_SYN_0114,Grade 7,Section C,298,8,0.9732,0.0268,8
580,ENHS_SYN_0553,Grade 10,Section C,299,8,0.9732,0.0268,8
581,ENHS_SYN_0016,Grade 7,Section A,299,8,0.9732,0.0268,8
582,ENHS_SYN_0335,Grade 9,Section A,300,8,0.9733,0.0267,8
583,ENHS_SYN_0529,Grade 10,Section B,299,8,0.9732,0.0268,7
584,ENHS_SYN_0115,Grade 7,Section C,299,8,0.9732,0.0268,8
585,ENHS_SYN_0280,Grade 8,Section C,299,8,0.9732,0.0268,7
586,ENHS_SYN_0487,Grade 10,Section A,300,7,0.9767,0.0233,7
587,ENHS_SYN_0388,Grade 9,Section B,300,7,0.9767,0.0233,7
588,ENHS_SYN_0454,Grade 10,Section A,300,7,0.9767,0.0233,6
589,ENHS_SYN_0124,Grade 7,Section C,299,6,0.9799,0.0201,6
590,ENHS_SYN_0556,Grade 10,Section C,300,6,0.98,0.02,6
591,ENHS_SYN_0598,Grade 10,Section C,300,6,0.98,0.02,5
592,ENHS_SYN_0412,Grade 9,Section C,299,6,0.9799,0.0201,6
593,ENHS_SYN_0495,Grade 10,Section A,299,6,0.9799,0.0201,6
594,ENHS_SYN_0506,Grade 10,Section B,299,5,0.9833,0.0167,5
595,ENHS_SYN_0355,Grade 9,Section B,299,5,0.9833,0.0167,5
596,ENHS_SYN_0373,Grade 9,Section B,300,5,0.9833,0.0167,5
597,ENHS_SYN_0536,Grade 10,Section B,300,5,0.9833,0.0167,5
598,ENHS_SYN_0559,Grade 10,Section C,300,4,0.9867,0.0133,4
599,ENHS_SYN_0215,Grade 8,Section B,298,4,0.9866,0.0134,4
600,ENHS_SYN_0483,Grade 10,Section A,299,2,0.9933,0.0067,2
