Pattern_Rank,Student_ID,Grade_Level,Section,Total_Sessions,Present_Count,Absence_Count,Attendance_Rate,Absence_Frequency,Distinct_Absent_Days,First_Half_Attendance_Rate,Second_Half_Attendance_Rate,Attendance_Trend_Change,Lowest_Attendance_Subject,Lowest_Subject_Attendance_Rate,Total_Observed_Weeks,Weeks_With_Absence,Proportion_Weeks_With_Absence,Longest_Consecutive_Days_With_Any_Absence,Highest_Absence_Weekday,Highest_Weekday_Absence_Rate
159,ENHS_SYN_0577,Grade 10,Section C,300,245,55,0.8167,0.1833,37,0.8533,0.78,-0.0733,Subject D,0.7667,12,12,1.0,7,Monday,0.25
160,ENHS_SYN_0534,Grade 10,Section B,300,246,54,0.82,0.18,42,0.82,0.82,0.0,Subject B,0.7667,12,12,1.0,8,Friday,0.2833
161,ENHS_SYN_0067,Grade 7,Section B,299,246,53,0.8227,0.1773,35,0.8322,0.8133,-0.0189,Subject D,0.7667,12,12,1.0,5,Wednesday,0.25
162,ENHS_SYN_0154,Grade 8,Section A,300,247,53,0.8233,0.1767,34,0.82,0.8267,0.0067,Subject C,0.7667,12,12,1.0,8,Friday,0.2333
163,ENHS_SYN_0155,Grade 8,Section A,300,247,53,0.8233,0.1767,36,0.8133,0.8333,0.02,Subject B,0.7667,12,12,1.0,7,Friday,0.2167
164,ENHS_SYN_0198,Grade 8,Section A,300,247,53,0.8233,0.1767,38,0.8133,0.8333,0.02,Subject E,0.75,12,12,1.0,8,Thursday,0.2333
165,ENHS_SYN_0222,Grade 8,Section B,299,246,53,0.8227,0.1773,37,0.8188,0.8267,0.0079,Subject D,0.7667,12,12,1.0,9,Friday,0.2333
166,ENHS_SYN_0302,Grade 9,Section A,298,245,53,0.8221,0.1779,41,0.8389,0.8054,-0.0336,Subject C,0.7797,12,12,1.0,7,Tuesday,0.2833
167,ENHS_SYN_0312,Grade 9,Section A,300,247,53,0.8233,0.1767,33,0.84,0.8067,-0.0333,Subject C,0.75,12,12,1.0,5,Tuesday,0.2167
168,ENHS_SYN_0348,Grade 9,Section A,300,247,53,0.8233,0.1767,36,0.7667,0.88,0.1133,Subject E,0.6833,12,12,1.0,7,Tuesday,0.2333
169,ENHS_SYN_0496,Grade 10,Section A,299,246,53,0.8227,0.1773,40,0.82,0.8255,0.0055,Subject E,0.7167,12,12,1.0,6,Wednesday,0.2333
170,ENHS_SYN_0520,Grade 10,Section B,300,247,53,0.8233,0.1767,43,0.8133,0.8333,0.02,Subject A,0.7667,12,12,1.0,11,Monday,0.2
171,ENHS_SYN_0582,Grade 10,Section C,300,247,53,0.8233,0.1767,38,0.8133,0.8333,0.02,Subject D,0.75,12,12,1.0,5,Monday,0.2333
172,ENHS_SYN_0049,Grade 7,Section A,300,248,52,0.8267,0.1733,37,0.82,0.8333,0.0133,Subject B,0.8,12,12,1.0,8,Friday,0.25
173,ENHS_SYN_0070,Grade 7,Section B,300,248,52,0.8267,0.1733,38,0.8067,0.8467,0.04,Subject E,0.7833,12,12,1.0,15,Friday,0.2833
174,ENHS_SYN_0100,Grade 7,Section B,299,247,52,0.8261,0.1739,36,0.8456,0.8067,-0.039,Subject B,0.7458,12,12,1.0,7,Friday,0.2712
175,ENHS_SYN_0186,Grade 8,Section A,300,248,52,0.8267,0.1733,39,0.8067,0.8467,0.04,Subject C,0.7833,12,12,1.0,13,Monday,0.2
176,ENHS_SYN_0206,Grade 8,Section B,299,247,52,0.8261,0.1739,36,0.8054,0.8467,0.0413,Subject B,0.7667,12,12,1.0,12,Tuesday,0.2167
177,ENHS_SYN_0370,Grade 9,Section B,299,247,52,0.8261,0.1739,36,0.8333,0.8188,-0.0145,Subject E,0.7667,12,12,1.0,6,Friday,0.2167
178,ENHS_SYN_0402,Grade 9,Section C,300,248,52,0.8267,0.1733,38,0.8067,0.8467,0.04,Subject C,0.75,12,12,1.0,7,Friday,0.2167
179,ENHS_SYN_0571,Grade 10,Section C,300,248,52,0.8267,0.1733,40,0.8,0.8533,0.0533,Subject E,0.75,12,12,1.0,7,Friday,0.2333
180,ENHS_SYN_0096,Grade 7,Section B,297,246,51,0.8283,0.1717,36,0.8503,0.8067,-0.0437,Subject D,0.7833,12,12,1.0,6,Wednesday,0.2667
181,ENHS_SYN_0102,Grade 7,Section C,300,249,51,0.83,0.17,38,0.82,0.84,0.02,Subject B,0.8,12,12,1.0,6,Friday,0.2167
182,ENHS_SYN_0160,Grade 8,Section A,300,249,51,0.83,0.17,36,0.8333,0.8267,-0.0067,Subject A,0.8167,12,12,1.0,4,Tuesday,0.2333
183,ENHS_SYN_0169,Grade 8,Section A,299,248,51,0.8294,0.1706,37,0.7987,0.86,0.0613,Subject D,0.8,12,12,1.0,6,Wednesday,0.2167
184,ENHS_SYN_0292,Grade 8,Section C,300,249,51,0.83,0.17,37,0.8667,0.7933,-0.0733,Subject B,0.7833,12,12,1.0,8,Tuesday,0.2
185,ENHS_SYN_0347,Grade 9,Section A,300,249,51,0.83,0.17,38,0.8667,0.7933,-0.0733,Subject B,0.7833,12,12,1.0,5,Friday,0.2333
186,ENHS_SYN_0497,Grade 10,Section A,300,249,51,0.83,0.17,35,0.8267,0.8333,0.0067,Subject C,0.8167,12,12,1.0,7,Thursday,0.2333
187,ENHS_SYN_0588,Grade 10,Section C,300,249,51,0.83,0.17,39,0.84,0.82,-0.02,Subject C,0.7833,12,12,1.0,7,Friday,0.25
188,ENHS_SYN_0592,Grade 10,Section C,300,249,51,0.83,0.17,35,0.8133,0.8467,0.0333,Subject C,0.8,12,12,1.0,5,Thursday,0.2167
189,ENHS_SYN_0105,Grade 7,Section C,298,248,50,0.8322,0.1678,35,0.8591,0.8054,-0.0537,Subject D,0.7966,12,12,1.0,5,Friday,0.2034
190,ENHS_SYN_0132,Grade 7,Section C,300,250,50,0.8333,0.1667,39,0.8333,0.8333,0.0,Subject E,0.7833,12,12,1.0,7,Tuesday,0.2167
191,ENHS_SYN_0269,Grade 8,Section C,299,249,50,0.8328,0.1672,36,0.8658,0.8,-0.0658,Subject D,0.75,12,12,1.0,6,Friday,0.2333
192,ENHS_SYN_0305,Grade 9,Section A,300,250,50,0.8333,0.1667,36,0.82,0.8467,0.0267,Subject C,0.8167,12,12,1.0,8,Friday,0.2
193,ENHS_SYN_0313,Grade 9,Section A,299,249,50,0.8328,0.1672,35,0.8133,0.8523,0.039,Subject D,0.75,12,12,1.0,4,Thursday,0.2333
194,ENHS_SYN_0396,Grade 9,Section B,300,250,50,0.8333,0.1667,38,0.86,0.8067,-0.0533,Subject D,0.8,12,12,1.0,6,Friday,0.1833
195,ENHS_SYN_0045,Grade 7,Section A,300,251,49,0.8367,0.1633,36,0.86,0.8133,-0.0467,Subject D,0.75,12,12,1.0,8,Tuesday,0.25
196,ENHS_SYN_0268,Grade 8,Section C,300,251,49,0.8367,0.1633,34,0.8267,0.8467,0.02,Subject B,0.75,12,12,1.0,11,Tuesday,0.2
197,ENHS_SYN_0439,Grade 9,Section C,300,251,49,0.8367,0.1633,34,0.8067,0.8667,0.06,Subject A,0.7833,12,12,1.0,5,Wednesday,0.2167
198,ENHS_SYN_0498,Grade 10,Section A,299,250,49,0.8361,0.1639,35,0.8389,0.8333,-0.0056,Subject D,0.7458,12,12,1.0,5,Tuesday,0.1864
199,ENHS_SYN_0207,Grade 8,Section B,298,250,48,0.8389,0.1611,32,0.8658,0.8121,-0.0537,Subject D,0.8167,12,12,1.0,4,Friday,0.2333
200,ENHS_SYN_0380,Grade 9,Section B,300,252,48,0.84,0.16,33,0.8333,0.8467,0.0133,Subject D,0.8,12,12,1.0,5,Tuesday,0.25
201,ENHS_SYN_0523,Grade 10,Section B,300,252,48,0.84,0.16,36,0.8733,0.8067,-0.0667,Subject E,0.8,12,12,1.0,6,Thursday,0.2333
202,ENHS_SYN_0098,Grade 7,Section B,300,253,47,0.8433,0.1567,35,0.86,0.8267,-0.0333,Subject B,0.7833,12,12,1.0,8,Friday,0.2333
203,ENHS_SYN_0123,Grade 7,Section C,298,251,47,0.8423,0.1577,38,0.8456,0.8389,-0.0067,Subject E,0.7667,12,12,1.0,8,Friday,0.1833
204,ENHS_SYN_0391,Grade 9,Section B,300,253,47,0.8433,0.1567,39,0.8267,0.86,0.0333,Subject D,0.8,12,12,1.0,8,Friday,0.1667
205,ENHS_SYN_0438,Grade 9,Section C,300,253,47,0.8433,0.1567,35,0.8133,0.8733,0.06,Subject C,0.7833,12,12,1.0,10,Wednesday,0.1833
206,ENHS_SYN_0510,Grade 10,Section B,300,253,47,0.8433,0.1567,34,0.8467,0.84,-0.0067,Subject D,0.7833,12,12,1.0,4,Friday,0.25
207,ENHS_SYN_0527,Grade 10,Section B,300,253,47,0.8433,0.1567,35,0.8667,0.82,-0.0467,Subject C,0.7667,12,12,1.0,6,Tuesday,0.25
208,ENHS_SYN_0004,Grade 7,Section A,299,253,46,0.8462,0.1538,32,0.86,0.8322,-0.0278,Subject E,0.8,12,12,1.0,8,Monday,0.1864
209,ENHS_SYN_0177,Grade 8,Section A,300,254,46,0.8467,0.1533,37,0.8533,0.84,-0.0133,Subject E,0.8,12,12,1.0,7,Monday,0.1833
210,ENHS_SYN_0242,Grade 8,Section B,299,253,46,0.8462,0.1538,33,0.8533,0.8389,-0.0144,Subject D,0.7833,12,12,1.0,4,Friday,0.1864
211,ENHS_SYN_0352,Grade 9,Section B,299,253,46,0.8462,0.1538,33,0.84,0.8523,0.0123,Subject B,0.7833,12,12,1.0,4,Tuesday,0.1833
212,ENHS_SYN_0213,Grade 8,Section B,299,254,45,0.8495,0.1505,34,0.8456,0.8533,0.0077,Subject D,0.8167,12,12,1.0,9,Tuesday,0.2167
213,ENHS_SYN_0220,Grade 8,Section B,300,255,45,0.85,0.15,31,0.8533,0.8467,-0.0067,Subject E,0.8,12,12,1.0,4,Friday,0.1833
214,ENHS_SYN_0446,Grade 9,Section C,300,255,45,0.85,0.15,31,0.88,0.82,-0.06,Subject B,0.8,12,12,1.0,5,Friday,0.1667
215,ENHS_SYN_0508,Grade 10,Section B,300,255,45,0.85,0.15,32,0.8333,0.8667,0.0333,Subject E,0.7833,12,12,1.0,3,Friday,0.2167
216,ENHS_SYN_0519,Grade 10,Section B,300,255,45,0.85,0.15,33,0.86,0.84,-0.02,Subject D,0.8,12,12,1.0,6,Monday,0.2
217,ENHS_SYN_0560,Grade 10,Section C,299,254,45,0.8495,0.1505,35,0.8867,0.8121,-0.0746,Subject D,0.8167,12,12,1.0,5,Monday,0.2167
218,ENHS_SYN_0586,Grade 10,Section C,300,255,45,0.85,0.15,34,0.8867,0.8133,-0.0733,Subject C,0.8,12,12,1.0,7,Friday,0.1833
219,ENHS_SYN_0077,Grade 7,Section B,300,256,44,0.8533,0.1467,31,0.8333,0.8733,0.04,Subject C,0.8,12,12,1.0,4,Monday,0.1833
220,ENHS_SYN_0151,Grade 8,Section A,299,255,44,0.8528,0.1472,34,0.7919,0.9133,0.1214,Subject A,0.8167,12,12,1.0,5,Friday,0.2167
221,ENHS_SYN_0235,Grade 8,Section B,300,256,44,0.8533,0.1467,33,0.86,0.8467,-0.0133,Subject D,0.75,12,12,1.0,10,Friday,0.1667
222,ENHS_SYN_0256,Grade 8,Section C,300,256,44,0.8533,0.1467,33,0.86,0.8467,-0.0133,Subject E,0.8,12,12,1.0,7,Tuesday,0.1833
223,ENHS_SYN_0285,Grade 8,Section C,299,255,44,0.8528,0.1472,37,0.84,0.8658,0.0258,Subject E,0.8167,12,12,1.0,5,Wednesday,0.1833
224,ENHS_SYN_0323,Grade 9,Section A,300,256,44,0.8533,0.1467,32,0.8933,0.8133,-0.08,Subject B,0.7833,12,12,1.0,5,Friday,0.1833
225,ENHS_SYN_0339,Grade 9,Section A,300,256,44,0.8533,0.1467,34,0.8333,0.8733,0.04,Subject B,0.8167,12,12,1.0,4,Friday,0.2
226,ENHS_SYN_0413,Grade 9,Section C,300,256,44,0.8533,0.1467,33,0.8333,0.8733,0.04,Subject A,0.8167,12,12,1.0,4,Monday,0.2333
227,ENHS_SYN_0465,Grade 10,Section A,299,255,44,0.8528,0.1472,36,0.8533,0.8523,-0.001,Subject D,0.7833,12,12,1.0,6,Wednesday,0.1833
228,ENHS_SYN_0526,Grade 10,Section B,299,255,44,0.8528,0.1472,34,0.8322,0.8733,0.0411,Subject A,0.7966,12,12,1.0,6,Monday,0.2
229,ENHS_SYN_0551,Grade 10,Section C,300,256,44,0.8533,0.1467,35,0.84,0.8667,0.0267,Subject C,0.8,12,12,1.0,6,Thursday,0.1833
230,ENHS_SYN_0032,Grade 7,Section A,300,257,43,0.8567,0.1433,37,0.84,0.8733,0.0333,Subject E,0.8167,12,12,1.0,4,Friday,0.1667
231,ENHS_SYN_0099,Grade 7,Section B,299,256,43,0.8562,0.1438,33,0.84,0.8725,0.0325,Subject D,0.8,12,12,1.0,6,Wednesday,0.2
232,ENHS_SYN_0143,Grade 7,Section C,298,255,43,0.8557,0.1443,32,0.84,0.8716,0.0316,Subject B,0.7833,12,12,1.0,5,Thursday,0.2373
233,ENHS_SYN_0350,Grade 9,Section A,299,256,43,0.8562,0.1438,33,0.86,0.8523,-0.0077,Subject B,0.8167,12,12,1.0,6,Friday,0.2034
234,ENHS_SYN_0528,Grade 10,Section B,300,257,43,0.8567,0.1433,34,0.8533,0.86,0.0067,Subject B,0.8167,12,12,1.0,9,Friday,0.1833
235,ENHS_SYN_0180,Grade 8,Section A,298,256,42,0.8591,0.1409,29,0.86,0.8581,-0.0019,Subject C,0.8167,12,12,1.0,5,Tuesday,0.2034
236,ENHS_SYN_0418,Grade 9,Section C,300,258,42,0.86,0.14,33,0.88,0.84,-0.04,Subject D,0.8167,12,12,1.0,7,Thursday,0.1833
237,ENHS_SYN_0423,Grade 9,Section C,300,258,42,0.86,0.14,37,0.8933,0.8267,-0.0667,Subject C,0.7333,12,12,1.0,8,Thursday,0.1667
238,ENHS_SYN_0021,Grade 7,Section A,300,259,41,0.8633,0.1367,32,0.8733,0.8533,-0.02,Subject C,0.8333,12,12,1.0,4,Friday,0.2
239,ENHS_SYN_0029,Grade 7,Section A,300,259,41,0.8633,0.1367,31,0.86,0.8667,0.0067,Subject E,0.8167,12,12,1.0,3,Wednesday,0.2667
240,ENHS_SYN_0068,Grade 7,Section B,299,258,41,0.8629,0.1371,28,0.8467,0.8792,0.0325,Subject A,0.8,12,12,1.0,7,Monday,0.2
241,ENHS_SYN_0082,Grade 7,Section B,299,258,41,0.8629,0.1371,32,0.8456,0.88,0.0344,Subject C,0.7833,12,12,1.0,8,Monday,0.2167
242,ENHS_SYN_0147,Grade 7,Section C,300,259,41,0.8633,0.1367,32,0.8533,0.8733,0.02,Subject A,0.8167,12,12,1.0,5,Monday,0.1833
243,ENHS_SYN_0179,Grade 8,Section A,299,258,41,0.8629,0.1371,30,0.92,0.8054,-0.1146,Subject D,0.7833,12,12,1.0,8,Friday,0.2034
244,ENHS_SYN_0303,Grade 9,Section A,300,259,41,0.8633,0.1367,32,0.84,0.8867,0.0467,Subject A,0.8333,12,12,1.0,6,Tuesday,0.25
245,ENHS_SYN_0320,Grade 9,Section A,299,258,41,0.8629,0.1371,30,0.8725,0.8533,-0.0191,Subject A,0.8333,12,12,1.0,4,Friday,0.2
246,ENHS_SYN_0434,Grade 9,Section C,300,259,41,0.8633,0.1367,28,0.86,0.8667,0.0067,Subject A,0.8333,12,12,1.0,6,Tuesday,0.2
247,ENHS_SYN_0492,Grade 10,Section A,299,258,41,0.8629,0.1371,34,0.8523,0.8733,0.021,Subject C,0.8,12,12,1.0,5,Friday,0.2
248,ENHS_SYN_0129,Grade 7,Section C,300,260,40,0.8667,0.1333,29,0.84,0.8933,0.0533,Subject C,0.8333,12,12,1.0,4,Friday,0.1833
249,ENHS_SYN_0135,Grade 7,Section C,300,260,40,0.8667,0.1333,33,0.8733,0.86,-0.0133,Subject B,0.8,12,12,1.0,6,Thursday,0.1667
250,ENHS_SYN_0245,Grade 8,Section B,300,260,40,0.8667,0.1333,32,0.86,0.8733,0.0133,Subject C,0.7833,12,12,1.0,6,Tuesday,0.1667
251,ENHS_SYN_0284,Grade 8,Section C,300,260,40,0.8667,0.1333,30,0.86,0.8733,0.0133,Subject E,0.8,12,12,1.0,5,Thursday,0.2167
252,ENHS_SYN_0327,Grade 9,Section A,300,260,40,0.8667,0.1333,30,0.8267,0.9067,0.08,Subject B,0.8167,12,12,1.0,5,Wednesday,0.1667
253,ENHS_SYN_0415,Grade 9,Section C,300,260,40,0.8667,0.1333,32,0.8733,0.86,-0.0133,Subject E,0.8333,12,12,1.0,4,Thursday,0.1667
254,ENHS_SYN_0557,Grade 10,Section C,300,260,40,0.8667,0.1333,27,0.86,0.8733,0.0133,Subject E,0.8167,12,12,1.0,5,Monday,0.15
255,ENHS_SYN_0575,Grade 10,Section C,300,260,40,0.8667,0.1333,32,0.86,0.8733,0.0133,Subject D,0.7667,12,12,1.0,4,Thursday,0.2167
256,ENHS_SYN_0247,Grade 8,Section B,299,260,39,0.8696,0.1304,30,0.8667,0.8725,0.0058,Subject D,0.8333,12,12,1.0,4,Friday,0.1695
257,ENHS_SYN_0407,Grade 9,Section C,299,260,39,0.8696,0.1304,32,0.8867,0.8523,-0.0343,Subject D,0.7966,12,12,1.0,6,Monday,0.2167
258,ENHS_SYN_0600,Grade 10,Section C,300,261,39,0.87,0.13,31,0.8667,0.8733,0.0067,Subject A,0.8333,12,12,1.0,4,Friday,0.1667
259,ENHS_SYN_0034,Grade 7,Section A,300,262,38,0.8733,0.1267,30,0.86,0.8867,0.0267,Subject C,0.8333,12,12,1.0,5,Friday,0.1333
260,ENHS_SYN_0079,Grade 7,Section B,300,262,38,0.8733,0.1267,30,0.9067,0.84,-0.0667,Subject A,0.8333,12,12,1.0,4,Friday,0.15
261,ENHS_SYN_0200,Grade 8,Section A,300,262,38,0.8733,0.1267,26,0.8667,0.88,0.0133,Subject E,0.8167,12,12,1.0,4,Monday,0.1833
262,ENHS_SYN_0293,Grade 8,Section C,299,261,38,0.8729,0.1271,27,0.8591,0.8867,0.0276,Subject E,0.7119,12,12,1.0,4,Wednesday,0.15
263,ENHS_SYN_0505,Grade 10,Section B,300,262,38,0.8733,0.1267,32,0.9067,0.84,-0.0667,Subject D,0.85,12,12,1.0,7,Tuesday,0.1667
264,ENHS_SYN_0558,Grade 10,Section C,299,261,38,0.8729,0.1271,27,0.8658,0.88,0.0142,Subject D,0.8475,12,12,1.0,4,Monday,0.2333
265,ENHS_SYN_0572,Grade 10,Section C,300,262,38,0.8733,0.1267,32,0.8533,0.8933,0.04,Subject C,0.8333,12,12,1.0,5,Monday,0.15
266,ENHS_SYN_0581,Grade 10,Section C,299,261,38,0.8729,0.1271,32,0.8867,0.8591,-0.0276,Subject C,0.8305,12,12,1.0,5,Tuesday,0.2167
267,ENHS_SYN_0254,Grade 8,Section C,300,263,37,0.8767,0.1233,30,0.84,0.9133,0.0733,Subject D,0.8,12,12,1.0,10,Friday,0.1667
268,ENHS_SYN_0436,Grade 9,Section C,300,263,37,0.8767,0.1233,25,0.8867,0.8667,-0.02,Subject E,0.7833,12,12,1.0,5,Thursday,0.15
269,ENHS_SYN_0013,Grade 7,Section A,300,264,36,0.88,0.12,29,0.8867,0.8733,-0.0133,Subject E,0.8333,12,12,1.0,5,Wednesday,0.1667
270,ENHS_SYN_0064,Grade 7,Section B,300,264,36,0.88,0.12,31,0.8533,0.9067,0.0533,Subject E,0.8167,12,12,1.0,6,Monday,0.15
271,ENHS_SYN_0108,Grade 7,Section C,300,264,36,0.88,0.12,32,0.8733,0.8867,0.0133,Subject B,0.8333,12,12,1.0,5,Tuesday,0.1667
272,ENHS_SYN_0229,Grade 8,Section B,299,263,36,0.8796,0.1204,30,0.8389,0.92,0.0811,Subject A,0.8167,12,12,1.0,8,Monday,0.1667
273,ENHS_SYN_0233,Grade 8,Section B,299,263,36,0.8796,0.1204,30,0.8591,0.9,0.0409,Subject C,0.8333,12,12,1.0,4,Monday,0.15
274,ENHS_SYN_0237,Grade 8,Section B,300,264,36,0.88,0.12,28,0.8733,0.8867,0.0133,Subject B,0.8333,12,12,1.0,4,Tuesday,0.15
275,ENHS_SYN_0278,Grade 8,Section C,300,264,36,0.88,0.12,31,0.88,0.88,0.0,Subject D,0.7833,12,12,1.0,4,Wednesday,0.1667
276,ENHS_SYN_0507,Grade 10,Section B,300,264,36,0.88,0.12,31,0.8667,0.8933,0.0267,Subject A,0.8667,12,12,1.0,4,Tuesday,0.1833
277,ENHS_SYN_0025,Grade 7,Section A,299,264,35,0.8829,0.1171,30,0.88,0.8859,0.0059,Subject A,0.85,12,12,1.0,5,Wednesday,0.1833
278,ENHS_SYN_0055,Grade 7,Section B,298,263,35,0.8826,0.1174,32,0.8792,0.8859,0.0067,Subject D,0.8644,12,12,1.0,5,Monday,0.1525
279,ENHS_SYN_0193,Grade 8,Section A,300,265,35,0.8833,0.1167,27,0.88,0.8867,0.0067,Subject E,0.8,12,12,1.0,4,Wednesday,0.1833
280,ENHS_SYN_0225,Grade 8,Section B,300,265,35,0.8833,0.1167,26,0.9,0.8667,-0.0333,Subject D,0.85,12,12,1.0,3,Tuesday,0.2
281,ENHS_SYN_0411,Grade 9,Section C,300,265,35,0.8833,0.1167,27,0.92,0.8467,-0.0733,Subject C,0.8667,12,12,1.0,6,Thursday,0.2
282,ENHS_SYN_0462,Grade 10,Section A,300,265,35,0.8833,0.1167,29,0.8867,0.88,-0.0067,Subject C,0.8167,12,12,1.0,4,Friday,0.1667
283,ENHS_SYN_0509,Grade 10,Section B,300,265,35,0.8833,0.1167,29,0.86,0.9067,0.0467,Subject E,0.8333,12,12,1.0,6,Friday,0.15
284,ENHS_SYN_0545,Grade 10,Section B,300,265,35,0.8833,0.1167,32,0.9133,0.8533,-0.06,Subject D,0.85,12,12,1.0,6,Friday,0.15
285,ENHS_SYN_0024,Grade 7,Section A,300,266,34,0.8867,0.1133,29,0.88,0.8933,0.0133,Subject C,0.8167,12,12,1.0,3,Friday,0.15
286,ENHS_SYN_0188,Grade 8,Section A,300,266,34,0.8867,0.1133,28,0.8933,0.88,-0.0133,Subject C,0.8,12,12,1.0,3,Tuesday,0.1667
287,ENHS_SYN_0279,Grade 8,Section C,300,266,34,0.8867,0.1133,26,0.9067,0.8667,-0.04,Subject E,0.8333,12,12,1.0,4,Wednesday,0.1667
288,ENHS_SYN_0594,Grade 10,Section C,300,266,34,0.8867,0.1133,25,0.9067,0.8667,-0.04,Subject A,0.8333,12,12,1.0,5,Friday,0.1833
289,ENHS_SYN_0002,Grade 7,Section A,300,267,33,0.89,0.11,25,0.92,0.86,-0.06,Subject E,0.85,12,12,1.0,3,Monday,0.1667
290,ENHS_SYN_0051,Grade 7,Section B,300,267,33,0.89,0.11,29,0.8933,0.8867,-0.0067,Subject C,0.8,12,12,1.0,4,Friday,0.1667
291,ENHS_SYN_0209,Grade 8,Section B,300,267,33,0.89,0.11,25,0.8933,0.8867,-0.0067,Subject D,0.8667,12,12,1.0,3,Monday,0.1667
292,ENHS_SYN_0304,Grade 9,Section A,300,267,33,0.89,0.11,25,0.8667,0.9133,0.0467,Subject E,0.8333,12,12,1.0,4,Wednesday,0.15
293,ENHS_SYN_0333,Grade 9,Section A,300,267,33,0.89,0.11,28,0.8933,0.8867,-0.0067,Subject E,0.8167,12,12,1.0,5,Thursday,0.15
294,ENHS_SYN_0196,Grade 8,Section A,300,268,32,0.8933,0.1067,27,0.88,0.9067,0.0267,Subject A,0.8667,12,12,1.0,4,Friday,0.15
295,ENHS_SYN_0271,Grade 8,Section C,300,268,32,0.8933,0.1067,25,0.8933,0.8933,0.0,Subject C,0.8333,12,12,1.0,5,Tuesday,0.15
296,ENHS_SYN_0353,Grade 9,Section B,298,266,32,0.8926,0.1074,26,0.8725,0.9128,0.0403,Subject B,0.85,12,12,1.0,5,Friday,0.1356
297,ENHS_SYN_0397,Grade 9,Section B,300,268,32,0.8933,0.1067,26,0.88,0.9067,0.0267,Subject B,0.85,12,12,1.0,5,Monday,0.1333
298,ENHS_SYN_0449,Grade 9,Section C,300,268,32,0.8933,0.1067,30,0.8933,0.8933,0.0,Subject E,0.85,12,12,1.0,4,Tuesday,0.15
299,ENHS_SYN_0472,Grade 10,Section A,300,268,32,0.8933,0.1067,28,0.9,0.8867,-0.0133,Subject E,0.8333,12,12,1.0,3,Friday,0.1667
300,ENHS_SYN_0502,Grade 10,Section B,300,268,32,0.8933,0.1067,27,0.9,0.8867,-0.0133,Subject B,0.85,12,12,1.0,4,Monday,0.1333
301,ENHS_SYN_0080,Grade 7,Section B,299,268,31,0.8963,0.1037,25,0.9,0.8926,-0.0074,Subject E,0.8333,12,12,1.0,3,Thursday,0.1356
302,ENHS_SYN_0104,Grade 7,Section C,298,267,31,0.896,0.104,26,0.9267,0.8649,-0.0618,Subject D,0.8333,12,12,1.0,3,Tuesday,0.1186
303,ENHS_SYN_0420,Grade 9,Section C,299,268,31,0.8963,0.1037,28,0.8933,0.8993,0.006,Subject C,0.8333,12,12,1.0,4,Wednesday,0.1356
304,ENHS_SYN_0469,Grade 10,Section A,300,269,31,0.8967,0.1033,25,0.9067,0.8867,-0.02,Subject D,0.8333,12,12,1.0,6,Friday,0.1333
305,ENHS_SYN_0137,Grade 7,Section C,299,269,30,0.8997,0.1003,25,0.88,0.9195,0.0395,Subject D,0.8333,12,12,1.0,4,Friday,0.1186
306,ENHS_SYN_0358,Grade 9,Section B,299,269,30,0.8997,0.1003,24,0.8926,0.9067,0.014,Subject E,0.8644,12,12,1.0,3,Wednesday,0.1667
307,ENHS_SYN_0364,Grade 9,Section B,300,270,30,0.9,0.1,24,0.9133,0.8867,-0.0267,Subject C,0.8833,12,12,1.0,5,Friday,0.1833
308,ENHS_SYN_0460,Grade 10,Section A,300,270,30,0.9,0.1,26,0.8867,0.9133,0.0267,Subject D,0.85,12,12,1.0,4,Friday,0.15
309,ENHS_SYN_0091,Grade 7,Section B,300,271,29,0.9033,0.0967,23,0.9067,0.9,-0.0067,Subject C,0.8667,12,12,1.0,3,Friday,0.2
310,ENHS_SYN_0106,Grade 7,Section C,299,270,29,0.903,0.097,23,0.88,0.9262,0.0462,Subject C,0.85,12,12,1.0,5,Wednesday,0.1833
311,ENHS_SYN_0134,Grade 7,Section C,299,270,29,0.903,0.097,24,0.9329,0.8733,-0.0596,Subject E,0.8814,12,12,1.0,4,Monday,0.1333
312,ENHS_SYN_0246,Grade 8,Section B,297,268,29,0.9024,0.0976,26,0.8919,0.9128,0.0209,Subject A,0.8667,12,12,1.0,5,Thursday,0.15
313,ENHS_SYN_0326,Grade 9,Section A,299,270,29,0.903,0.097,22,0.9067,0.8993,-0.0073,Subject D,0.8667,12,12,1.0,3,Monday,0.1667
314,ENHS_SYN_0414,Grade 9,Section C,300,271,29,0.9033,0.0967,25,0.9333,0.8733,-0.06,Subject D,0.8333,12,12,1.0,4,Wednesday,0.15
315,ENHS_SYN_0017,Grade 7,Section A,299,271,28,0.9064,0.0936,25,0.906,0.9067,0.0006,Subject B,0.8475,12,12,1.0,5,Tuesday,0.15
316,ENHS_SYN_0485,Grade 10,Section A,300,272,28,0.9067,0.0933,24,0.8867,0.9267,0.04,Subject A,0.8833,12,12,1.0,3,Friday,0.1333
317,ENHS_SYN_0020,Grade 7,Section A,299,272,27,0.9097,0.0903,24,0.92,0.8993,-0.0207,Subject C,0.85,12,12,1.0,3,Friday,0.15
318,ENHS_SYN_0351,Grade 9,Section B,299,272,27,0.9097,0.0903,23,0.906,0.9133,0.0073,Subject E,0.8667,12,12,1.0,3,Monday,0.1333
319,ENHS_SYN_0405,Grade 9,Section C,300,273,27,0.91,0.09,23,0.8733,0.9467,0.0733,Subject A,0.8833,12,12,1.0,8,Thursday,0.15
